date,keyWords
2019-02-08,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '쉬즈미스코트', '롱원피스', '써스데이아일랜드원피스', '몽클레어여성패딩', '여성체크코트', '여성숏패딩', '코트', '제시뉴욕', '여성패딩', '써스데이아일랜드', '온앤온코트', '니트원피스']"
2019-02-09,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '쉬즈미스코트', '써스데이아일랜드원피스', '몽클레어여성패딩', '여성숏패딩', '여성체크코트', '여성패딩', '써스데이아일랜드', '코트', '제시뉴욕', '여성롱패딩', '모조에스핀원피스']"
2019-02-10,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '블라우스', '여성핸드메이드코트', '롱패딩', '여성코트', '롱원피스', '써스데이아일랜드원피스', '쉬즈미스코트', '여성패딩', '여성숏패딩', '몽클레어여성패딩', '여성롱패딩', '여성체크코트', '제시뉴욕', '써스데이아일랜드', '코트', '나이스클랍코트']"
2019-02-11,"['원피스', '핸드메이드코트', '여성경량패딩', '트위드자켓', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '여성패딩', '쉬즈미스코트', '써스데이아일랜드원피스', '여성숏패딩', '여성롱패딩', '몽클레어여성패딩', '여성체크코트', '코트', '써스데이아일랜드', '모조에스핀원피스', '제시뉴욕']"
2019-02-12,"['원피스', '핸드메이드코트', '여성경량패딩', '트위드자켓', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '여성숏패딩', '쉬즈미스코트', '써스데이아일랜드원피스', '여성패딩', '여성롱패딩', '몽클레어여성패딩', '모조에스핀코트', '제시뉴욕', '여성체크코트', '모조에스핀원피스', '써스데이아일랜드']"
2019-02-13,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '여성패딩', '써스데이아일랜드원피스', '여성롱패딩', '쉬즈미스코트', '여성숏패딩', '모조에스핀코트', '제시뉴욕', '몽클레어여성패딩', '모조에스핀원피스', '여름원피스', '코트']"
2019-02-14,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '여성패딩', '여성롱패딩', '써스데이아일랜드원피스', '모조에스핀코트', '쉬즈미스코트', '여성숏패딩', '제시뉴욕', '모조에스핀원피스', '여름원피스', '몽클레어여성패딩', '코트']"
2019-02-15,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '여성코트', '롱원피스', '모조에스핀코트', '여성롱패딩', '여성패딩', '써스데이아일랜드원피스', '쉬즈미스코트', '제시뉴욕', '여성숏패딩', '모조에스핀원피스', '여름원피스', '코트', '몽클레어여성패딩']"
2019-02-16,"['원피스', '핸드메이드코트', '트위드자켓', '여성경량패딩', '여성핸드메이드코트', '블라우스', '롱패딩', '롱원피스', '여성코트', '모조에스핀코트', '제시뉴욕', '써스데이아일랜드원피스', '여성패딩', '모조에스핀원피스', '쉬즈미스코트', '여성롱패딩', '여성숏패딩', '모조에스핀', '코트', '여름원피스']"
2019-02-17,"['원피스', '트위드자켓', '핸드메이드코트', '여성경량패딩', '블라우스', '여성핸드메이드코트', '롱패딩', '롱원피스', '여성코트', '모조에스핀코트', '제시뉴욕', '쉬즈미스코트', '여성패딩', '모조에스핀원피스', '써스데이아일랜드원피스', '여성숏패딩', '여성롱패딩', '코트', '모조에스핀', '여성체크코트']"
2019-02-18,"['트위드자켓', '원피스', '핸드메이드코트', '여성경량패딩', '블라우스', '여성핸드메이드코트', '롱패딩', '롱원피스', '여성코트', '제시뉴욕', '모조에스핀코트', '쉬즈미스코트', '여성숏패딩', '여자트렌치코트', '써스데이아일랜드원피스', '여성패딩', '모조에스핀원피스', '코트', '여성롱패딩', '여성체크코트']"
